university,ap_exam,min_score,credits_awarded,course_equivalent,credit_used_for,school_major
University of California: Los Angeles,3-D Art and Design,3,8,,Dept Elective,All
University of California: Los Angeles,Physics C: Mechanics,3,4,PHYSICS General “C”,Dept Elective,All
University of California: Los Angeles,Computer Science Principles,3,8,,Dept Elective,All
University of California: Los Angeles,French Language and Culture,5,8,FRNCH 6,Corresponding Course,All
University of California: Los Angeles,French Language and Culture,4,8,FRNCH 5,Corresponding Course,All
University of California: Los Angeles,French Language and Culture,3,8,FRNCH 4,Corresponding Course,All
University of California: Los Angeles,Macroeconomics,3,4,,None/Not Specified,All
University of California: Los Angeles,Macroeconomics,5,4,ECON 2,Corresponding Course,All
University of California: Los Angeles,Calculus BC: AB Subscore,3,4,,None/Not Specified,Engineering
University of California: Los Angeles,Calculus BC: AB Subscore,3,4,Calculus,Corresponding Course,All
University of California: Los Angeles,Calculus BC: AB Subscore,5,4,MATH 31A,Corresponding Course,All
University of California: Los Angeles,English Literature and Composition,3,8,,None/Not Specified,All
University of California: Los Angeles,English Literature and Composition,4,8,ENGCOMP 3,Corresponding Course,All
University of California: Los Angeles,Spanish Literature and Culture,3,8,SPAN Literature,Dept Elective,All
University of California: Los Angeles,Chinese Language and Culture,3,8,,Dept Elective,All
University of California: Los Angeles,Art History,3,8,,Dept Elective,All
University of California: Los Angeles,Spanish Language and Culture,5,8,SPAN 5,Corresponding Course,All
University of California: Los Angeles,Spanish Language and Culture,4,8,SPAN 4,Corresponding Course,All
University of California: Los Angeles,Spanish Language and Culture,3,8,SPAN 3,Corresponding Course,All
University of California: Los Angeles,World History: Modern,3,8,,Dept Elective,All
University of California: Los Angeles,Physics C: Electricity and Magnetism,3,4,PHYSICS General “C”,Dept Elective,All
University of California: Los Angeles,Physics 1,3,8,PHYSICS General,Dept Elective,All
University of California: Los Angeles,Chemistry,3,8,,Dept Elective,All
University of California: Los Angeles,Chemistry,4,8,,General Elective,All
University of California: Los Angeles,German Language and Culture,3,8,GERMAN 3,Corresponding Course,All
University of California: Los Angeles,German Language and Culture,5,8,GERMAN 5,Corresponding Course,All
University of California: Los Angeles,German Language and Culture,4,8,GERMAN 4,Corresponding Course,All
University of California: Los Angeles,Statistics,3,4,STATS Unassigned,None/Not Specified,All
University of California: Los Angeles,Calculus AB,5,4,MATH 31A,Corresponding Course,All
University of California: Los Angeles,Calculus AB,3,4,,Dept Elective,All
University of California: Los Angeles,Calculus BC,3,8,,None/Not Specified,Engineering
University of California: Los Angeles,Calculus BC,4,8,MATH 31A/Calculus,Corresponding Course,Corresponding Major
University of California: Los Angeles,Calculus BC,5,8,MATH 31A/31B,Corresponding Course,Corresponding Major
University of California: Los Angeles,Comparative Government and Politics,3,4,,Dept Elective,All
University of California: Los Angeles,African American Studies,3,4,HIST	United States,,All
University of California: Los Angeles,Computer Science A,3,8,,None/Not Specified,All
University of California: Los Angeles,Human Geography,3,4,,Dept Elective,All
University of California: Los Angeles,Psychology,3,4,PSYCH Unassigned,None/Not Specified,All
University of California: Los Angeles,Psychology,4,4,PSYCH 10,Corresponding Course,All
University of California: Los Angeles,Physics 2,3,8,PHYSICS General,Dept Elective,All
University of California: Los Angeles,Drawing,3,8,,Dept Elective,All
University of California: Los Angeles,Japanese Language and Culture,3,8,,Dept Elective,All
University of California: Los Angeles,2-D Art and Design,3,8,,Dept Elective,All
University of California: Los Angeles,United States Government and Politics,3,4,,Dept Elective,All
University of California: Los Angeles,Latin,3,4,LATIN 1,Corresponding Course,All
University of California: Los Angeles,Latin,4,4,LATIN 3,Corresponding Course,All
University of California: Los Angeles,Music Theory,3,8,,Dept Elective,All
University of California: Los Angeles,Microeconomics,3,4,,None/Not Specified,All
University of California: Los Angeles,Microeconomics,5,4,ECON 1,Corresponding Course,All
University of California: Los Angeles,Environmental Science,3,4,,Dept Elective,All
University of California: Los Angeles,English Language and Composition,3,8,,None/Not Specified,All
University of California: Los Angeles,English Language and Composition,4,8,ENGCOMP 3,Corresponding Course,All
University of California: Los Angeles,United States History,3,8,,Dept Elective,All
University of California: Los Angeles,Italian Language and Culture,4,8,ITALIAN 4,Corresponding Course,All
University of California: Los Angeles,Italian Language and Culture,5,8,ITALIAN 6,Corresponding Course,All
University of California: Los Angeles,Italian Language and Culture,3,8,ITALIAN 3,Corresponding Course,All
University of California: Los Angeles,Biology,3,8,,Dept Elective,All
University of California: Los Angeles,European History,3,8,,Dept Elective,All
